"Edit","Format Active Elements","Ctrl+I","Editing in Structured Text Editors"
"Text Editing","To Lower Case","Shift+Ctrl+Y","Editing Text"
"Source","Quick Assist - Assign to local variable","Ctrl+2 L","Editing Java Source"
"Source","Declaration","Ctrl+G","In C/C++ Views"
"Terminal view commands","Copy","Ctrl+Insert","Terminal Control in Focus"
"File","Save All","Shift+Ctrl+S","In Windows"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","C/C++ Editor"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Navigate","Expand All","Shift+Ctrl+Numpad_Multiply","In Windows"
"Source","Toggle Comment","Ctrl+7","C/C++ Editor"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Terminal view commands","Paste","Shift+Insert","Terminal Control in Focus"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Navigate","Open Include Browser","Ctrl+Alt+I","In C/C++ Views"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Edit","Select Enclosing C/C++ Element","Shift+Alt+Up","C/C++ Editor"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"Source","Toggle Comment","Ctrl+/","SystemTap Editor"
"Edit","Toggle Comment","Shift+Ctrl+C","Editing in Structured Text Editors"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks Editor"
"File","Save","Ctrl+S","In Windows"
"Focused UI","Make Less Interesting","Shift+Ctrl+Alt+Down","In Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Terminal view commands","Terminal view insert","Alt+P","Terminal Typing Connected"
"UML2 Sequence Diagram Viewer Commands","Show node end","Shift+Alt+End","UML2 Sequence Diagram Viewer"
"Text Editing","Zoom In","Ctrl+=","Editing Text"
"Terminal view commands","Copy","Shift+Ctrl+C","Terminal Control in Focus"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"File","Close","Ctrl+F4","In Windows"
"Changelog","Format ChangeLog","Esc Ctrl+F","ChangeLog Editor"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Text Editing","Zoom In","Ctrl++","Editing Text"
"Source","Open Declaration","F3","In C/C++ Views"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Window","Previous Perspective","Shift+Ctrl+F8","In Windows"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Navigate","Open Declaration","F3","In Windows"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"Focused UI","Focus on Active Task","Shift+Alt+H","In Windows"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Edit","Find Previous","Shift+Ctrl+K","Editing Text"
"Makefile Source","Toggle Comment","Ctrl+/","Makefile Editor"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks View"
"Edit","Format","Shift+Ctrl+F","Editing in Structured Text Editors"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"File","Close","Ctrl+W","In Windows"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging C/C++"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Run/Debug","Resume","F8","Debugging"
"Run/Debug","Step Into","F5","Debugging"
"Source","Open Element","Shift+Ctrl+T","In C/C++ Views"
"Source","Show outline","Ctrl+O","C/C++ Editor"
"Focused UI","Show Context Quick View","Shift+Ctrl+Alt+Right","In Windows"
"Source","Quick Assist - Extract method","Ctrl+2 M","Editing Java Source"
"Edit","Select Next Element","Shift+Alt+Right","Editing Java Source"
"Navigate","Collapse All","Shift+Ctrl+Numpad_Divide","In Windows"
"Navigate","Show In Breadcrumb","Shift+Alt+B","Editing Java Source"
"Refactor - C++","Extract Function - Refactoring ","Shift+Alt+M","C/C++ Editor"
"Edit","Select Previous Element","Shift+Alt+Left","Editing Java Source"
"File","New menu","Shift+Alt+N","In Windows"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"Navigate","Next Sub-Tab","Alt+PageDown","In Dialogs and Windows"
